Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Cofix,кофейня,Кофейни,"улица Дыбенко, 30",1 этаж,443045,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,3.4,30,,,,9002kosmoport@ru.cofix.store,http://cofix.global,,,,https://vk.com/cofixrussia,https://wa.me/79608292862,,,,https://t.me/cofix_russia,,,53.206833,50.198554,https://2gis.com/firm/70000001060977408,branch
Mosaic coffee&tea,,Кофейни; Продажа кофе; Продажа чая,"Фрунзе, 91",1 этаж; вход с ул. Фрунзе,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+04:00,4.9,142,89023208020,,,,http://свежаяобжарка.рф,,,,https://vk.com/mosaic.coffee,,,,,https://t.me/mosaic_coffee,,,53.187136,50.09136,https://2gis.com/firm/70000001077330664,branch
Ягоза,тревел-кафе,Кофейни; Кафе,"Фрунзе, 126",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+04:00,4.8,108,89277251177,89270051155,,yagoza.travel-cafe@mail.ru,http://xn--80afnclqfewk9hxb.xn--p1ai/,,,,https://vk.com/turskazki_yagoza,https://wa.me/79270051155,,,,https://t.me/+79270051155,,,53.193233,50.094937,https://2gis.com/firm/70000001088944861,branch
Picture`s,фудхолл,Кофейни; Фудмоллы; Рестораны; Кафе; Бары,"улица Лесная, 23 к5",1 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-23:00,+04:00,4.3,308,89370647377 (боулинг),89372097377,,,http://pictureshall.ru,,,,https://vk.com/pictures_smr,,,,,https://t.me/pictures_smr,,,53.212317,50.125064,https://2gis.com/firm/70000001066660382,branch
Биркин,кофейня-шоурум,Кофейни; Женская одежда; Мужская одежда,"Галактионовская, 68",1 этаж,443010,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,5.0,7,89371897178,,,,http://t.me/birkin_amk,,,,,https://wa.me/79371897178,,,,,,,53.189942,50.100631,https://2gis.com/firm/70000001091466979,branch
Вкусная Компания,,Кофейни; Кафе; Доставка еды; Кондитерские изделия; Кейтеринг,"Садовая, 212Б",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:30-21:00; Вс: 09:00-21:00,+04:00,4.4,142,89879552565,,,vkus_com@mail.ru,http://t.me/vkusnayakompania,http://vkus-com.ru/,http://vkuscom.2gis.biz,,https://vk.com/vkusnayakompania,https://wa.me/79879552565,,viber://chat/?number=79879552565,,https://t.me/glor25,,,53.199414,50.113783,https://2gis.com/firm/70000001041932716,branch
Капуч,кофейня,Кофейни,"3-я просека, 63",1 этаж,443011,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,4.5,26,89608225288,,,,,,,,,https://wa.me/79608225288,,viber://chat/?number=79608225288,,https://t.me/+79608225288,,,53.232313,50.181305,https://2gis.com/firm/70000001064901279,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Безалкогольные напитки; Кондитерские изделия,"улица Чернореченская, 21",1 этаж,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+04:00,4.2,25,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.193876,50.132144,https://2gis.com/firm/70000001038002235,branch
Coffee Bean,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Ленинградская улица, 2",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 09:00-23:00,+04:00,4.5,337,88463333040,,,,http://www.coffeebean.ru,,,,https://vk.com/coffeebeanofficial,,,,,,,,53.189581,50.08352,https://2gis.com/firm/2533804071444819,branch
Green Stag,,Кофейни,"Московское шоссе, 120Б",,443090,,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.6,80,89277135007,,,ilya_mail_first@rambler.ru,,,,,,https://wa.me/79277135007,,,,,,,53.229037,50.196717,https://2gis.com/firm/70000001045544771,branch
